Sales Person,Product,Date,Sales,Boxes,Expenses,Category,Team
Barr Faughny,Raspberry Choco,2021-08-01,"$8,414",495,"$2,898",Bars,Yummies
Dennison Crosswaite,White Choc,2021-08-01,$532,54,$12,Other,Yummies
Karlen McCaffrey,99% Dark & Pure,2021-08-01,"$5,376",269,"$1,166",Bars,Yummies
Barr Faughny,Baker's Choco Chips,2021-08-01,$259,22,$127,Bars,Yummies
Beverie Moffet,Manuka Honey Choco,2021-08-01,"$5,530",179,"$1,328",Other,Jucies
Rafaelita Blaksland,85% Dark Bars,2021-08-01,"$2,184",122,$94,Bars,Yummies
Oby Sorrel,Raspberry Choco,2021-08-01,"$1,057",71,$511,Bars,Jucies
Dotty Strutley,Organic Choco Syrup,2021-08-01,"$1,036",37,$76,Other,Delish
Brien Boise,Caramel Stuffed Bars,2021-08-01,"$4,039",176,$165,Bars,Jucies
Curtice Advani,Milk Bars,2021-08-01,"$12,894",478,$838,Bars,Delish
Madelene Upcott,Milk Bars,2021-08-01,"$4,669",180,$379,Bars,Jucies
Wilone O'Kielt,Organic Choco Syrup,2021-08-01,"$6,377",246,$455,Other,Delish
Jehu Rudeforth,Mint Chip Choco,2021-08-01,"$4,599",256,$522,Bars,Tempo
Jehu Rudeforth,Orange Choco,2021-08-01,"$2,751",251,"$2,095",Bars,Tempo
Brien Boise,Eclairs,2021-08-01,"$15,596",975,"$3,051",Bites,Jucies
Curtice Advani,After Nines,2021-08-01,"$8,561",330,"$1,904",Bites,Delish
Camilla Castle,Mint Chip Choco,2021-08-01,"$14,273",752,"$1,670",Bars,Tempo
Dennison Crosswaite,85% Dark Bars,2021-08-01,"$2,506",148,$107,Bars,Yummies
Beverie Moffet,Spicy Special Slims,2021-08-01,"$2,387",89,$926,Bites,Jucies
Andria Kimpton,Drinking Coco,2021-08-01,"$7,553",280,$812,Other,Jucies
Jehu Rudeforth,Peanut Butter Cubes,2021-08-01,"$3,409",171,$765,Bites,Tempo
Kelci Walkden,Peanut Butter Cubes,2021-08-01,"$3,878",216,"$1,159",Bites,Yummies
Karlen McCaffrey,Raspberry Choco,2021-08-01,"$3,052",204,"$1,393",Bars,Yummies
Madelene Upcott,Choco Coated Almonds,2021-08-04,"$19,229",1013,"$11,037",Bites,Jucies
Kelci Walkden,Choco Coated Almonds,2021-08-04,"$1,988",95,"$1,002",Bites,Yummies
Karlen McCaffrey,Orange Choco,2021-08-04,$147,11,$111,Bars,Yummies
Oby Sorrel,Fruit & Nut Bars,2021-08-04,"$2,401",134,$241,Bars,Jucies
Husein Augar,Caramel Stuffed Bars,2021-08-04,"$2,814",94,$87,Bars,Yummies
Curtice Advani,Caramel Stuffed Bars,2021-08-04,"$5,390",216,$233,Bars,Delish
Van Tuxwell,50% Dark Bites,2021-08-04,"$3,920",262,$770,Bites,Yummies
Beverie Moffet,70% Dark Bites,2021-08-04,"$7,539",943,"$9,172",Bites,Jucies
Van Tuxwell,Organic Choco Syrup,2021-08-05,"$17,248",664,"$1,358",Other,Yummies
Madelene Upcott,Almond Choco,2021-08-05,"$1,176",66,$811,Bars,Jucies
Rafaelita Blaksland,85% Dark Bars,2021-08-05,"$9,730",573,$463,Bars,Yummies
Marney O'Breen,85% Dark Bars,2021-08-05,"$2,226",140,$116,Bars,Yummies
Madelene Upcott,Fruit & Nut Bars,2021-08-05,"$7,063",643,"$1,137",Bars,Jucies
Kaine Padly,After Nines,2021-08-05,"$7,399",275,"$1,779",Bites,Delish
Wilone O'Kielt,Orange Choco,2021-08-05,"$4,284",306,"$3,119",Bars,Delish
Kaine Padly,Raspberry Choco,2021-08-05,"$4,865",271,"$1,603",Bars,Delish
Curtice Advani,70% Dark Bites,2021-08-05,"$3,780",315,"$2,960",Bites,Delish
Jan Morforth,Orange Choco,2021-08-05,"$3,059",279,"$2,574",Bars,Delish
Husein Augar,After Nines,2021-08-05,"$6,622",276,"$1,750",Bites,Yummies
Wilone O'Kielt,Smooth Sliky Salty,2021-08-06,$644,34,$193,Bars,Delish
Ches Bonnell,After Nines,2021-08-06,"$4,935",171,"$1,128",Bites,Tempo
Jan Morforth,Peanut Butter Cubes,2021-08-06,"$7,182",378,"$1,726",Bites,Delish
Andria Kimpton,Orange Choco,2021-08-06,$539,77,$697,Bars,Jucies
Oby Sorrel,70% Dark Bites,2021-08-06,$637,91,$795,Bites,Jucies
Kaine Padly,Baker's Choco Chips,2021-08-06,"$1,470",184,"$1,074",Bars,Delish
Brien Boise,85% Dark Bars,2021-08-06,"$1,442",61,$44,Bars,Jucies
Husein Augar,Smooth Sliky Salty,2021-08-06,"$9,023",564,"$3,143",Bars,Yummies
Gunar Cockshoot,Milk Bars,2021-08-06,"$2,709",101,$177,Bars,Yummies
Beverie Moffet,Choco Coated Almonds,2021-08-07,"$5,733",338,"$3,954",Bites,Jucies
Gigi Bohling,50% Dark Bites,2021-08-07,"$10,451",1307,"$4,062",Bites,Delish
Madelene Upcott,Manuka Honey Choco,2021-08-07,"$11,228",388,"$3,062",Other,Jucies
Kelci Walkden,Caramel Stuffed Bars,2021-08-07,"$3,073",129,$129,Bars,Yummies
Andria Kimpton,85% Dark Bars,2021-08-07,"$5,467",288,$200,Bars,Jucies
Ches Bonnell,Smooth Sliky Salty,2021-08-07,"$4,067",226,"$1,146",Bars,Tempo
Dennison Crosswaite,Mint Chip Choco,2021-08-08,"$2,814",149,$398,Bars,Yummies
Roddy Speechley,Caramel Stuffed Bars,2021-08-08,"$2,716",105,$110,Bars,Delish
Jehu Rudeforth,Orange Choco,2021-08-08,"$3,570",325,"$2,941",Bars,Tempo
Karlen McCaffrey,85% Dark Bars,2021-08-08,"$9,562",479,$353,Bars,Yummies
Rafaelita Blaksland,Peanut Butter Cubes,2021-08-08,"$2,373",104,$460,Bites,Yummies
Ches Bonnell,Caramel Stuffed Bars,2021-08-08,"$2,807",123,$117,Bars,Tempo
Brien Boise,Milk Bars,2021-08-08,$420,14,$30,Bars,Jucies
Curtice Advani,Raspberry Choco,2021-08-08,"$8,239",515,"$3,235",Bars,Delish
Gigi Bohling,50% Dark Bites,2021-08-08,"$6,797",486,"$1,374",Bites,Delish
Jehu Rudeforth,85% Dark Bars,2021-08-08,"$6,048",319,$264,Bars,Tempo
Gigi Bohling,Raspberry Choco,2021-08-08,$364,21,$152,Bars,Delish
